survey_organization,party_affiliation,start_date,end_date,survey_method,survey_question,survey_population,survey_sample,approve_percent,disapprove_percent,undecided_percent,margin_of_error
McClatchy/Marist,None,2017-02-15,2017-02-19,Live Phone,Do you approve or disapprove of the job Donald Trump  is doing as president?,Registered Voters (Republicans),,85,7,8,
McClatchy/Marist,None,2017-02-15,2017-02-19,Live Phone,Do you approve or disapprove of the job Donald Trump  is doing as president?,Registered Voters (Independents),,40,51,9,
Rasmussen,None,2017-02-15,2017-02-19,Automated Phone/Internet,,Likely Voters,1500,51,49,,2.5
Gallup,None,2017-02-16,2017-02-18,Live Phone,,Adults,1500,41,55,,3
Politico/Morning Consult,None,2017-02-16,2017-02-19,Internet,,Registered Voters,2013,49,44,7,2
Politico/Morning Consult,None,2017-02-16,2017-02-19,Internet,,Registered Voters (Democrats),691,21,74,5,
Politico/Morning Consult,None,2017-02-16,2017-02-19,Internet,,Registered Voters (Republicans),648,85,11,4,
Politico/Morning Consult,None,2017-02-16,2017-02-19,Internet,,Registered Voters (Independents),675,41,47,13,
Quinnipiac,None,2017-02-16,2017-02-21,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Registered Voters,1323,38,55,7,2.7
Rasmussen,None,2017-02-16,2017-02-20,Automated Phone/Internet,,Likely Voters,1500,50,50,,2.5
ARG,None,2017-02-17,2017-02-20,Live Phone,,Adults,1100,43,51,6,3
CBS,None,2017-02-17,2017-02-21,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Adults,1280,39,51,10,3
CBS,None,2017-02-17,2017-02-21,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Adults (Democrats),386,6,85,9,
CBS,None,2017-02-17,2017-02-21,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Adults (Republicans),355,82,11,6,
CBS,None,2017-02-17,2017-02-21,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Adults (Independents),549,37,50,12,
Gallup,None,2017-02-17,2017-02-19,Live Phone,,Adults,1500,42,53,,3
HuffPost/YouGov,None,2017-02-17,2017-02-18,Internet,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Adults,1000,41,47,12,4
HuffPost/YouGov,None,2017-02-17,2017-02-18,Internet,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Adults (Democrats),363,17,75,8,
HuffPost/YouGov,None,2017-02-17,2017-02-18,Internet,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Adults (Republicans),264,84,11,5,
HuffPost/YouGov,None,2017-02-17,2017-02-18,Internet,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Adults (Independents),373,37,44,19,
Ipsos/Reuters,None,2017-02-17,2017-02-21,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults,2338,45,50,5,2.3
Ipsos/Reuters,None,2017-02-17,2017-02-21,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Democrats),996,19,79,2,3.5
Ipsos/Reuters,None,2017-02-17,2017-02-21,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Republicans),867,82,16,2,3.8
Ipsos/Reuters,None,2017-02-17,2017-02-21,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Independents),290,39,53,8,6.6
SurveyMonkey,None,2017-02-17,2017-02-23,Internet,,Adults,10639,44,54,2,
SurveyMonkey,None,2017-02-17,2017-02-23,Internet,,Adults (Democrats),3460,10,88,1,
SurveyMonkey,None,2017-02-17,2017-02-23,Internet,,Adults (Republicans),2813,88,12,1,
SurveyMonkey,None,2017-02-17,2017-02-23,Internet,,Adults (Independents),4087,41,58,1,
Gallup,None,2017-02-18,2017-02-20,Live Phone,,Adults,1500,41,53,,3
NBC/WSJ,None,2017-02-18,2017-02-22,Live Phone,,Adults,1000,44,48,8,3.1
YouGov/Economist,None,2017-02-18,2017-02-22,Internet,,Adults,1500,43,46,11,3
YouGov/Economist,None,2017-02-18,2017-02-22,Internet,,Adults (Democrats),562,18,78,5,
YouGov/Economist,None,2017-02-18,2017-02-22,Internet,,Adults (Republicans),344,82,13,4,
YouGov/Economist,None,2017-02-18,2017-02-22,Internet,,Adults (Independents),594,39,41,20,
Gallup,None,2017-02-19,2017-02-21,Live Phone,,Adults,1500,42,52,,3
Rasmussen,None,2017-02-19,2017-02-21,Automated Phone/Internet,,Likely Voters,1500,51,49,,2.5
Gallup,None,2017-02-20,2017-02-22,Live Phone,,Adults,1500,43,52,,3
Rasmussen,None,2017-02-20,2017-02-22,Automated Phone/Internet,,Likely Voters,1500,52,47,,2.5
Gallup,None,2017-02-21,2017-02-23,Live Phone,,Adults,1500,43,52,,3
PPP (D),Democrat,2017-02-21,2017-02-22,Automated Phone/Internet,Do you approve or disapprove of President Donald Trump’s job performance?,Likely Voters,941,45,48,7,3.2
PPP (D),Democrat,2017-02-21,2017-02-22,Automated Phone/Internet,Do you approve or disapprove of President Donald Trump’s job performance?,Likely Voters (Democrats),,15,81,4,
PPP (D),Democrat,2017-02-21,2017-02-22,Automated Phone/Internet,Do you approve or disapprove of President Donald Trump’s job performance?,Likely Voters (Republicans),,87,12,1,
PPP (D),Democrat,2017-02-21,2017-02-22,Automated Phone/Internet,Do you approve or disapprove of President Donald Trump’s job performance?,Likely Voters (Independents),,37,54,8,
Rasmussen,None,2017-02-21,2017-02-23,Automated Phone/Internet,,Likely Voters,1500,53,47,,2.5
Gallup,None,2017-02-22,2017-02-24,Live Phone,,Adults,1500,41,53,,3
Gallup,None,2017-02-23,2017-02-25,Live Phone,,Adults,1500,41,54,,3
Rasmussen,None,2017-02-23,2017-02-26,Automated Phone/Internet,,Likely Voters,1500,51,49,,2.5
Gallup,None,2017-02-24,2017-02-26,Live Phone,,Adults,1500,42,54,,3
